64156,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/1/2002,Parts per billion,20.416667,35,20,33,Parts per million,0.014167,0.023,8,19,Parts per billion,9.875,20,0,29,Parts per million,0.354167,0.6,21,
64157,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/1/2002,Parts per billion,20.416667,35,20,33,Parts per million,0.014167,0.023,8,19,Parts per billion,9.875,20,0,29,Parts per million,0.331579,0.5,23,6
64158,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/1/2002,Parts per billion,20.416667,35,20,33,Parts per million,0.014167,0.023,8,19,Parts per billion,9.8375,17.3,2,,Parts per million,0.354167,0.6,21,
64159,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/1/2002,Parts per billion,20.416667,35,20,33,Parts per million,0.014167,0.023,8,19,Parts per billion,9.8375,17.3,2,,Parts per million,0.331579,0.5,23,6
64160,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/2/2002,Parts per billion,27.916667,39,23,37,Parts per million,0.008708,0.018,8,15,Parts per billion,10.208333,16,20,23,Parts per million,0.483333,0.9,8,
64161,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/2/2002,Parts per billion,27.916667,39,23,37,Parts per million,0.008708,0.018,8,15,Parts per billion,10.208333,16,20,23,Parts per million,0.445833,0.7,23,8
64162,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/2/2002,Parts per billion,27.916667,39,23,37,Parts per million,0.008708,0.018,8,15,Parts per billion,10.175,13.6,23,,Parts per million,0.483333,0.9,8,
64163,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/2/2002,Parts per billion,27.916667,39,23,37,Parts per million,0.008708,0.018,8,15,Parts per billion,10.175,13.6,23,,Parts per million,0.445833,0.7,23,8
64164,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/3/2002,Parts per billion,30.958333,38,0,36,Parts per million,0.008167,0.014,8,12,Parts per billion,9.458333,17,3,24,Parts per million,0.5125,0.9,18,
64165,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/3/2002,Parts per billion,30.958333,38,0,36,Parts per million,0.008167,0.014,8,12,Parts per billion,9.458333,17,3,24,Parts per million,0.529167,0.7,0,8
64166,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/3/2002,Parts per billion,30.958333,38,0,36,Parts per million,0.008167,0.014,8,12,Parts per billion,9.45,14.3,2,,Parts per million,0.5125,0.9,18,
64167,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/3/2002,Parts per billion,30.958333,38,0,36,Parts per million,0.008167,0.014,8,12,Parts per billion,9.45,14.3,2,,Parts per million,0.529167,0.7,0,8
64168,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/4/2002,Parts per billion,27.916667,39,19,37,Parts per million,0.00975,0.022,9,19,Parts per billion,11.181818,37,21,52,Parts per million,0.473913,0.8,18,
64169,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/4/2002,Parts per billion,27.916667,39,19,37,Parts per million,0.00975,0.022,9,19,Parts per billion,11.181818,37,21,52,Parts per million,0.483333,0.7,0,8
64170,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/4/2002,Parts per billion,27.916667,39,19,37,Parts per million,0.00975,0.022,9,19,Parts per billion,11.5,27.3,23,,Parts per million,0.473913,0.8,18,
64171,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/4/2002,Parts per billion,27.916667,39,19,37,Parts per million,0.00975,0.022,9,19,Parts per billion,11.5,27.3,23,,Parts per million,0.483333,0.7,0,8
64172,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/5/2002,Parts per billion,35.416667,44,20,42,Parts per million,0.006167,0.014,9,12,Parts per billion,16.166667,27,0,39,Parts per million,0.675,1.7,20,
64173,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,1/5/2002,Parts per billion,35.416667,44,20,42,Parts per million,0.006167,0.014,9,12,Parts per billion,16.166667,27,0,39,Parts per million,0.616667,1,23,11
